Vereador,Partido,Projeto: PLE 026/15 - PROC. 2098/15 - MENSAGEM RETIFICATIVA - Data de votação: 21/12/2015 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 23:26:31  - Horário de término: 23:28:50 - Link para projeto: http://camarapoa.rs.gov.br/processos/126381
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Não
Bernardino Vendruscolo,PROS,Ausente
Carlos Casartelli,PTB,Sim
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Sim
Dr. Cristaldo,PDT,Ausente
Dr. Goulart,PTB,Sim
Dr. Raul Fraga,PMDB,Ausente
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Não votou
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Abstenção
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Sim
Paulinho Ruben Berta,N/A,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Não
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Ausente
